08/10/2021;127926
09/10/2021;110344
10/10/2021;152830
11/10/2021;162569
12/10/2021;89054
13/10/2021;215382
14/10/2021;169011
15/10/2021;185569
16/10/2021;11602
17/10/2021;105171
18/10/2021;147203
19/10/2021;196482
20/10/2021;136172
21/10/2021;186185
22/10/2021;179718
23/10/2021;132306
24/10/2021;193188
25/10/2021;167251
26/10/2021;144948
27/10/2021;152608
28/10/2021;170723
29/10/2021;99866
30/10/2021;83245
31/10/2021;106626
01/11/2021;103869
02/11/2021;157976
03/11/2021;100801
04/11/2021;124404
05/11/2021;134485
06/11/2021;174212
07/11/2021;178802
08/11/2021;119570
09/11/2021;66201
10/11/2021;148980
11/11/2021;153110
12/11/2021;68957
13/11/2021;90378
14/11/2021;107711
15/11/2021;54549
16/11/2021;151669
17/11/2021;141309
18/11/2021;119844
19/11/2021;98738
20/11/2021;133275
21/11/2021;216754
22/11/2021;201066
23/11/2021;127857
24/11/2021;106126
25/11/2021;59688
26/11/2021;145436
27/11/2021;99499
28/11/2021;139551
29/11/2021;129061
30/11/2021;123358
01/12/2021;234821
02/12/2021;186844
03/12/2021;172135
04/12/2021;153660
05/12/2021;234718
06/12/2021;86738
07/12/2021;131465
08/12/2021;170326
09/12/2021;192829
10/12/2021;238393
11/12/2021;236120
12/12/2021;220035
13/12/2021;225848
14/12/2021;191668
15/12/2021;194915
16/12/2021;205611
17/12/2021;213810
18/12/2021;217829
19/12/2021;205053
20/12/2021;220662
21/12/2021;209882
22/12/2021;213638
23/12/2021;148604
24/12/2021;213411
25/12/2021;218802
26/12/2021;220371
27/12/2021;217682
28/12/2021;231612
29/12/2021;191528
30/12/2021;235054
31/12/2021;176850
01/01/2022;171965
02/01/2022;171026
03/01/2022;206393
04/01/2022;226307
05/01/2022;205385
06/01/2022;186053
07/01/2022;198437
08/01/2022;147536
09/01/2022;225801
10/01/2022;215560
11/01/2022;227230
12/01/2022;216219
13/01/2022;217839
14/01/2022;174355
15/01/2022;197465
16/01/2022;223822
17/01/2022;225483
18/01/2022;233639
19/01/2022;216309
20/01/2022;199823
21/01/2022;189592
22/01/2022;200149
23/01/2022;214005
24/01/2022;234085
25/01/2022;203616
26/01/2022;209939
27/01/2022;210725
28/01/2022;243904
29/01/2022;236039
30/01/2022;236233
31/01/2022;218155
01/02/2022;189580
02/02/2022;225872
03/02/2022;190934
04/02/2022;235245
05/02/2022;238878
06/02/2022;208564
07/02/2022;229110
08/02/2022;200147
09/02/2022;231490
10/02/2022;233261
11/02/2022;211059
12/02/2022;192998
13/02/2022;255600
14/02/2022;216190
15/02/2022;229296
16/02/2022;202567
17/02/2022;205696
18/02/2022;203682
19/02/2022;243118
20/02/2022;246255
21/02/2022;232725
22/02/2022;219522
23/02/2022;243086
24/02/2022;216129
25/02/2022;241122
26/02/2022;102121
27/02/2022;259875
28/02/2022;238710
01/03/2022;252187
02/03/2022;238749
03/03/2022;240820
04/03/2022;227672
05/03/2022;228863
06/03/2022;221684
07/03/2022;200873
08/03/2022;238478
09/03/2022;243920
10/03/2022;247169
11/03/2022;256859
12/03/2022;254682
13/03/2022;253435
14/03/2022;245993
15/03/2022;195847
16/03/2022;193706
17/03/2022;191734
18/03/2022;212849
19/03/2022;193958
20/03/2022;180778
21/03/2022;239129
22/03/2022;254783
23/03/2022;175712
24/03/2022;166724
25/03/2022;241814
26/03/2022;235777
27/03/2022;182428
28/03/2022;222404
29/03/2022;228259
30/03/2022;185103
31/03/2022;210284
01/04/2022;185969
02/04/2022;206990
03/04/2022;190105
04/04/2022;232435
05/04/2022;193485
06/04/2022;199343
07/04/2022;218629
08/04/2022;126470
09/04/2022;155606
10/04/2022;144705
11/04/2022;126280
12/04/2022;144745
13/04/2022;92624
14/04/2022;213376
15/04/2022;260302
16/04/2022;239385
17/04/2022;221564
18/04/2022;245783
19/04/2022;191462
20/04/2022;229203
21/04/2022;214574
22/04/2022;164549
23/04/2022;135643
24/04/2022;258178
25/04/2022;174029
26/04/2022;225900
27/04/2022;242550
28/04/2022;185784
29/04/2022;208610
30/04/2022;190032
01/05/2022;164102
02/05/2022;230327
03/05/2022;204672
04/05/2022;167588
05/05/2022;187261
06/05/2022;153803
07/05/2022;160058
08/05/2022;145435
09/05/2022;133801
10/05/2022;106862
11/05/2022;119286
12/05/2022;77610
13/05/2022;144143
14/05/2022;75079
15/05/2022;85761
16/05/2022;16514
17/05/2022;114773
18/05/2022;42990
19/05/2022;86061
20/05/2022;125480
21/05/2022;141952
22/05/2022;133163
23/05/2022;118447
24/05/2022;188694
25/05/2022;196137
26/05/2022;104672
27/05/2022;181622
28/05/2022;160204
29/05/2022;179663
30/05/2022;208168
31/05/2022;41574
01/06/2022;195490
02/06/2022;166946
03/06/2022;187078
04/06/2022;197312
05/06/2022;154885
06/06/2022;168924
07/06/2022;118844
08/06/2022;175818
09/06/2022;135113
10/06/2022;192825
11/06/2022;164197
12/06/2022;124767
13/06/2022;200974
14/06/2022;223173
15/06/2022;105100
16/06/2022;183269
17/06/2022;181142
18/06/2022;191955
19/06/2022;189421
20/06/2022;207281
21/06/2022;151319
22/06/2022;176324
23/06/2022;180394
24/06/2022;163370
25/06/2022;97391
26/06/2022;209018
27/06/2022;160803
28/06/2022;135923
29/06/2022;108582
30/06/2022;60265
01/07/2022;134953
02/07/2022;88792
03/07/2022;86261
04/07/2022;127247
05/07/2022;68764
06/07/2022;86892
07/07/2022;73155
08/07/2022;134905
09/07/2022;64605
10/07/2022;121185
11/07/2022;120130
12/07/2022;112343
13/07/2022;107260
14/07/2022;117456
15/07/2022;95155
16/07/2022;121050
17/07/2022;106773
18/07/2022;60993
19/07/2022;188028
20/07/2022;49546
21/07/2022;174136
22/07/2022;98291
23/07/2022;105117
24/07/2022;180454
25/07/2022;227734
26/07/2022;173193
27/07/2022;119601
28/07/2022;211663
29/07/2022;174481
30/07/2022;139825
31/07/2022;155921
01/08/2022;79734
02/08/2022;71621
03/08/2022;53336
04/08/2022;33407
05/08/2022;93709
06/08/2022;111934
07/08/2022;56670
08/08/2022;115176
09/08/2022;168151
10/08/2022;175804
11/08/2022;179861
12/08/2022;221796
13/08/2022;178373
14/08/2022;136538
15/08/2022;215729
16/08/2022;248830
17/08/2022;228349
18/08/2022;211377
19/08/2022;158092
20/08/2022;166611
21/08/2022;141454
22/08/2022;86733
23/08/2022;112896
24/08/2022;108529
25/08/2022;125662
26/08/2022;96313
27/08/2022;63910
28/08/2022;209406
29/08/2022;133932
30/08/2022;139994
31/08/2022;159557
01/09/2022;144691
02/09/2022;173960
03/09/2022;161272
04/09/2022;128585
05/09/2022;120843
06/09/2022;78214
07/09/2022;136673
08/09/2022;149046
09/09/2022;165263
10/09/2022;133763
11/09/2022;180525
12/09/2022;160966
13/09/2022;185999
14/09/2022;206684
15/09/2022;229755
16/09/2022;125442
17/09/2022;180006
18/09/2022;213208
19/09/2022;198889
20/09/2022;217764
21/09/2022;221732
22/09/2022;237109
23/09/2022;227874
24/09/2022;214291
25/09/2022;227709
26/09/2022;158363
27/09/2022;239347
28/09/2022;183213
29/09/2022;217687
30/09/2022;176135
01/10/2022;146921
02/10/2022;207996
03/10/2022;166557
04/10/2022;182953
05/10/2022;146331
06/10/2022;146371
07/10/2022;125758
08/10/2022;23660
09/10/2022;215032
10/10/2022;169857
11/10/2022;209222
12/10/2022;219167
13/10/2022;226334
14/10/2022;174911
15/10/2022;208692
16/10/2022;215032
17/10/2022;152887
18/10/2022;40660
19/10/2022;133299
20/10/2022;180631
21/10/2022;146744
22/10/2022;202713
23/10/2022;207334
24/10/2022;150625
25/10/2022;186298
26/10/2022;224486
27/10/2022;189025
28/10/2022;218655
29/10/2022;177363
30/10/2022;152152
31/10/2022;169983
01/11/2022;127322
02/11/2022;219810
03/11/2022;152646
04/11/2022;143737
05/11/2022;150808
06/11/2022;184964
07/11/2022;188318
08/11/2022;151256
09/11/2022;181456
10/11/2022;206497
11/11/2022;106194
12/11/2022;144567
13/11/2022;156203
14/11/2022;152232
15/11/2022;156660
16/11/2022;186202
17/11/2022;185953
18/11/2022;160040
19/11/2022;206158
20/11/2022;192249
21/11/2022;213300
22/11/2022;201078
23/11/2022;200896
24/11/2022;223819
25/11/2022;206767
26/11/2022;187467
27/11/2022;138096
28/11/2022;190121
29/11/2022;168119
30/11/2022;160574
01/12/2022;208112
02/12/2022;172088
03/12/2022;179401
04/12/2022;145808
05/12/2022;148156
06/12/2022;196949
07/12/2022;119629
08/12/2022;129264
09/12/2022;63686
10/12/2022;113135
11/12/2022;76760
12/12/2022;119326
13/12/2022;228000
14/12/2022;156207
15/12/2022;235823
16/12/2022;236694
17/12/2022;186150
18/12/2022;141803
19/12/2022;161867
20/12/2022;159156
21/12/2022;207610
22/12/2022;182436
